payment_id,account_code,po_number,payment_amount,payment_date,payment_ref
35,AC4000,PO100040,567.15,2026-07-15,PMT35
36,AC4000,PO100041,178.36,2026-07-16,PMT36
37,AC1000,PO100043,1179.4,2026-06-24,PMT37
38,AC1000,PO100043,1179.4,2026-07-03,PMT38
39,AC1000,PO100044,147.78,2026-06-26,PMT39
40,AC1000,PO100045,1923.52,2026-06-13,PMT40
41,AC1000,PO100046,1210.32,2026-07-04,PMT41
42,AC4000,PO100047,283.78,2026-07-11,PMT42
43,AC3000,PO100049,1872.68,2026-06-22,PMT43
44,AC2000,PO100050,436.57,2026-06-19,PMT44
45,AC4000,PO100051,582.76,2026-06-30,PMT45
46,AC4000,PO100052,1133.16,2026-06-26,PMT46
47,AC2000,PO100053,1036.48,2026-06-21,PMT47
48,AC1000,PO100054,1764.58,2026-06-26,PMT48
49,AC2000,PO100055,904.46,2026-07-02,PMT49
50,AC2000,PO100056,325.25,2026-06-23,PMT50
51,AC2000,PO100058,565.71,2026-07-07,PMT51
52,AC2000,PO100060,1449.34,2026-06-20,PMT52
53,AC4000,PO100061,539.69,2026-07-06,PMT53
54,AC1000,PO100062,785.84,2026-07-02,PMT54
55,AC3000,PO100063,1385.76,2026-07-01,PMT55
56,AC4000,PO100064,1125.78,2026-06-19,PMT56
57,AC1000,PO100065,152.74,2026-07-08,PMT57
58,AC1000,PO100066,1677.46,2026-06-28,PMT58
59,AC4000,PO100067,298.52,2026-06-26,PMT59
60,AC1000,PO100068,1802.9,2026-06-19,PMT60
61,AC1000,PO100069,631.42,2026-07-06,PMT61
62,AC2000,PO100070,1855.24,2026-06-18,PMT62
63,AC2000,PO100070,1855.24,2026-06-18,PMT63
64,AC4000,PO100071,98.33,2026-07-09,PMT64
65,AC4000,PO100072,1991.74,2026-07-10,PMT65
66,AC1000,PO100074,795.96,2026-06-22,PMT66
67,AC1000,PO100075,150.1,2026-06-21,PMT67
68,AC3000,PO100076,645.12,2026-07-08,PMT68
69,AC2000,PO100077,96.15,2026-06-24,PMT69
70,AC3000,PO100078,593.28,2026-06-16,PMT70
71,AC3000,PO100079,208.02,2026-06-20,PMT71
72,AC3000,PO100080,1600.82,2026-06-17,PMT72
73,AC2000,PO100081,1182.15,2026-06-15,PMT73
74,AC2000,PO100082,98.78,2026-06-27,PMT74
75,AC4000,PO100084,1232.11,2026-06-25,PMT75
76,AC4000,PO100084,1232.11,2026-07-04,PMT76
77,AC2000,PO100085,546.71,2026-07-11,PMT77
78,AC1000,PO100086,1260.24,2026-07-07,PMT78
79,AC3000,PO100087,891.03,2026-07-16,PMT79
80,AC3000,PO100087,891.03,2026-07-16,PMT80
81,AC1000,PO100088,1710.47,2026-06-28,PMT81
82,AC3000,PO100089,602.44,2026-06-21,PMT82
83,AC4000,PO100090,1346.61,2026-06-23,PMT83
84,AC3000,PO100091,841.85,2026-07-02,PMT84
85,AC3000,PO100092,609.48,2026-06-29,PMT85
86,AC3000,PO100092,609.48,2026-07-03,PMT86
87,AC4000,PO100093,912.21,2026-06-27,PMT87
88,AC4000,PO100094,407.18,2026-06-17,PMT88
89,AC1000,PO100095,603.38,2026-07-07,PMT89
90,AC2000,PO100097,1704.67,2026-06-17,PMT90
91,AC1000,PO100098,140.12,2026-06-23,PMT91
92,AC4000,PO100099,626.69,2026-07-08,PMT92
93,AC4000,PO100100,829.32,2026-06-10,PMT93
94,AC4000,PO100100,829.32,2026-06-13,PMT94
95,AC4000,PO100101,476.74,2026-07-15,PMT95
96,AC1000,PO100102,1136.94,2026-07-08,PMT96
97,AC4000,PO100103,310.01,2026-06-30,PMT97
98,AC4000,PO100104,1244.67,2026-07-12,PMT98
99,AC4000,PO100105,1799.56,2026-07-14,PMT99
100,AC4000,PO100106,555.42,2026-06-21,PMT100
101,AC4000,PO100107,394.62,2026-06-28,PMT101
102,AC2000,PO100108,585.47,2026-06-17,PMT102
103,AC2000,PO100109,579.84,2026-06-18,PMT103
104,AC2000,PO100110,344.12,2026-06-22,PMT104
105,AC2000,PO100110,344.12,2026-06-24,PMT105
